Taxon	HC.F1	HC.F2	HC.F3	HC.F4	HC.F5	Glut.F1	Glut.F2	Glut.F3	Glut.F5	Chow.F1	Chow.F2	Chow.F3	Chow.KO.F2	Chow.M1	Chow.M2	Chow.KO.M2
k__Bacteria;p__Deferribacteres;c__Deferribacteres;o__Deferribacterales;f__Deferribacteraceae	2.26687118882e-05	1.65993011694e-05	0.0	1.47635252346e-05	2.88192743307e-05	5.13668724766e-05	0.0	3.40859511344e-05	1.01258644957e-05	1.88828883266e-05	3.62849639645e-05	1.65584845675e-05	1.55745045361e-05	9.43396226415e-06	7.42886858331e-06	2.33301448802e-05
k__Bacteria;p__Firmicutes;Other;Other;Other	7.55623729608e-06	0.0	9.06840296355e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;Other;Other	9.06748475529e-05	0.0	9.06840296355e-06	0.0	0.0	0.0	0.0	0.0	0.0	6.29429610887e-06	0.0	0.0	0.0	0.0	0.0	7.77671496007e-06
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.33301448802e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae	0.0	8.29965058471e-06	9.06840296355e-06	0.0	0.0	0.0	9.44590331173e-06	2.04515706806e-05	0.0	6.29429610887e-06	4.53562049556e-06	0.0	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Gemellales;f__Gemellaceae	0.0	0.0	0.0	0.0	7.20481858267e-06	0.0	9.44590331173e-06	1.36343804538e-05	0.0	1.25885922177e-05	0.0	8.27924228375e-06	7.78725226804e-06	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;Other	0.0	0.0	0.0	7.38176261728e-06	7.20481858267e-06	2.05467489906e-05	9.44590331173e-06	6.81719022688e-06	1.01258644957e-05	1.25885922177e-05	1.36068614867e-05	8.27924228375e-06	0.0	0.0	0.0	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__	1.51124745922e-05	0.0	1.81368059271e-05	0.0	4.3228911496e-05	6.16402469719e-05	9.44590331173e-06	2.72687609075e-05	1.01258644957e-05	0.000195123179375	0.000167817958336	0.00013246787654	7.78725226804e-06	9.43396226415e-05	0.000163435108833	3.11068598403e-05
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.29429610887e-06	9.07124099112e-06	0.0	0.0	0.0	7.42886858331e-06	0.0
k__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	0.000120899796737	8.29965058471e-06	4.53420148178e-05	7.38176261728e-06	2.1614455748e-05	0.0551372009164	0.00913418850245	0.00184745855148	0.000253146612392	5.66486649798e-05	1.36068614867e-05	2.48377268512e-05	1.55745045361e-05	6.60377358491e-05	5.94309486665e-05	8.55438645607e-05
